song_id,song_title,artist,album,genre,release_date,duration,popularity,stream,language,explicit_content,label,composer,producer,collaboration
SP0033,Fact cell wall tend.,Nicole Dunn,Film peace.,Jazz,28/11/12,288,72,72331654,English,Yes,Warner Music,William Snyder,Mary Clark,Judy Schwartz
SP0034,Side.,Mrs. Jessica Cole,Old.,Hip-Hop,04/03/02,,99,20875976,French,No,Indie,Angela Chambers,William Alexander,Sara Rogers
SP0035,Sister marriage have.,Ashley Sandoval,Process.,Pop,22/10/21,260,65,7894934,,Yes,Indie,Tiffany Rodriguez,Theresa Sullivan,
SP0036,Get.,Tracey Nichols,Draw war.,Hip-Hop,22/04/96,184,60,17692432,Korean,Yes,Warner Music,Joshua Martin,Jacqueline Pena,
SP0037,Cultural still building.,Brandon Watson,Next describe.,Electronic,18/06/19,194,95,61091790,German,No,Universal Music,John Anderson MD,Jason Ruiz,Kim Lewis
SP0038,Attack office.,Sandra Cabrera,Glass tell.,Hip-Hop,12/06/21,201,39,6393734,English,Yes,Def Jam,Cory Padilla,John Johnson,Lisa Lucas
SP0039,Partner generation weight.,Harold Long,Health parent.,Folk,29/01/09,246,76,1329243,English,No,Warner Music,Ashley Rivera,Charles Sanders,
SP0040,News candidate.,Scott Hicks,Everyone.,Classical,19/10/08,319,74,90945437,Spanish,No,Sony Music,Russell Gonzalez,Bailey Sims,
SP0041,Live candidate believe.,Anthony Baker,Town fill.,Pop,25/02/19,196,39,9819670,English,No,Warner Music,Paul Foster,Mindy Simpson,
SP0042,Degree deal cultural.,Dustin Morris,True green.,Electronic,13/11/98,238,30,86576441,English,No,Atlantic Records,Joshua Sheppard,Jennifer Santana,
SP0043,Accept quickly.,Wanda Thompson,Feel thousand.,Electronic,16/03/07,194,44,29675027,English,Yes,Def Jam,Mark Kane,Paul Collins,Deanna Mitchell
SP0044,Information think.,Henry Skinner,Production.,Hip-Hop,15/08/02,110,77,50783069,English,Yes,Sony Music,Jesse Scott,Anne Estrada,
SP0045,Nice sign.,Patrick Wells,Opportunity base.,Hip-Hop,09/11/23,223,43,19552905,English,No,Universal Music,Erica Long,Jessica Vega,Jorge Caldwell
SP0046,Hard too state.,Victoria Green,Vote cut.,Hip-Hop,20/07/96,256,4,63557089,English,No,Warner Music,Hayley Jones,Kelli Michael,
SP0047,By kid.,Sean Wilson,Four.,Pop,14/08/06,150,18,26542387,English,Yes,Sony Music,Reginald Herrera,Stacie Peterson,Rebecca Cruz
SP0048,Nice across.,Teresa Robinson,Professional.,Hip-Hop,07/08/95,240,42,11528011,English,Yes,Sony Music,Amy Diaz,Melissa Powell,
SP0049,Group economic.,Vanessa Mack,Discussion financial.,Hip-Hop,09/07/21,252,38,35796020,Korean,No,Atlantic Records,Kelsey Weber,Natalie Walker,
SP0050,Training score structure.,Maxwell Parker,Similar.,Pop,18/03/19,234,86,23072717,,No,Indie,Suzanne Macdonald,Logan Elliott,Lisa Trujillo
SP0051,Sure around.,Daniel Glover,Himself.,Pop,11/05/06,252,4,19221229,English,No,Atlantic Records,Corey Watkins,Edwin Mccormick,
SP0052,Another lose suddenly.,Maurice Silva,Cover.,Hip-Hop,25/06/09,267,9,60478565,Korean,No,Warner Music,Jesse Campbell,Katrina Cox,
SP0053,Organization leg able quite.,Timothy Smith,Hit.,Classical,09/01/20,324,7,54901737,English,Yes,Indie,Kristina Mayo,Maria Carney,
SP0054,Hit fire use.,Carol Cobb,Visit.,Jazz,19/12/15,382,40,71634376,English,No,Sony Music,Roger Perez MD,April Fitzpatrick,
SP0055,Dream chance.,Emma Moon,Loss ability.,Electronic,08/02/95,268,23,21637443,Spanish,No,Warner Music,Tonya Curtis,Heather Hill,Kimberly Murphy
SP0056,Behavior give include.,Mark Hall,Method.,Folk,20/03/98,299,45,17378187,Spanish,Yes,Indie,Brian Mcneil,Brian Wong,Marcia Lindsey
SP0057,Drive through manage.,Alison Hubbard,Time occur.,Hip-Hop,15/08/98,249,20,75772599,English,Yes,Universal Music,Kathleen Ruiz,Joseph Burns,
SP0058,Visit we high.,Tyler Walker,Budget check.,Electronic,29/05/15,242,12,3591264,Spanish,No,Indie,Jessica Wallace,Jacqueline Diaz,
SP0059,Build part central.,Jacob Meyers,Everybody.,Hip-Hop,12/01/02,,74,92195780,,Yes,Sony Music,Ashley Williamson,Tristan Moran,
SP0060,Play firm thought whom.,Felicia Singh,Travel.,Hip-Hop,03/10/24,243,73,18399148,Korean,No,Sony Music,Matthew Orr,Bethany Fleming PhD,Amanda Wells
SP0061,Brother old include.,Janice Parker,Old.,Hip-Hop,24/06/04,316,71,39996865,Spanish,Yes,Warner Music,Wanda Chen,Sandy Rodriguez,Dana Young
SP0062,Method every.,Richard Grant,High.,Pop,22/07/16,,48,86023568,English,Yes,Universal Music,Jessica Meyer,Walter Henderson,Samantha Johnson
SP0063,Produce television.,Charles Franco,Against discover.,Electronic,18/04/20,159,58,92061269,English,Yes,Warner Music,Janet Mcdowell,Stefanie Jones,Crystal Patterson
SP0064,Day article write.,Jerry Smith,Environmental.,Classical,06/04/21,,39,94206935,German,No,Sony Music,Andrew Martinez,Daniel Clark,
SP0065,Training mean.,James Austin,And than.,Hip-Hop,20/06/00,,57,11764423,French,Yes,Def Jam,Joshua Marks,Christopher Rogers,
SP0066,At offer.,Edward Jordan,South.,Classical,05/06/19,223,23,13815171,Spanish,No,Indie,Mark Smith,Tracy Lee,
SP0067,Drop here.,William Torres,Reduce.,Electronic,14/08/11,241,86,92470565,English,No,Atlantic Records,Regina Garrett,Justin Jones,Ryan Bond
SP0068,Never area.,Jason Cherry,Picture environmental.,Pop,02/08/97,300,54,97340958,English,No,Sony Music,Ms. Amber Brennan,David Perkins,
SP0069,Church off impact.,Heidi Moore,Affect.,Pop,10/03/17,347,78,49556458,English,No,Sony Music,Robert Sutton,Tonya Sosa,
SP0070,Industry good.,Joshua Castillo,Public interview.,Hip-Hop,17/12/04,185,75,66059210,English,No,Sony Music,Mark Wilson,Amanda Garcia,
SP0071,Officer her.,Elizabeth Peterson,Collection sign.,Country,07/07/10,,12,30093983,Italian,Yes,Universal Music,David Griffith,Jeremy Le,
SP0072,Pass customer newspaper.,Daniel Johnson,Art big.,Hip-Hop,29/11/19,196,31,13460853,English,Yes,Def Jam,Rachel Dunn,Anna Chapman,Michelle Brooks
SP0073,Stage hundred.,Alex Allen,Role.,Pop,09/08/14,169,17,63733434,Spanish,Yes,Indie,Nichole Collins,Brian Smith,
SP0074,By actually lay.,Douglas Bean,Real southern.,Pop,06/11/17,207,48,48948383,English,Yes,Warner Music,Eduardo Jackson Jr.,Sarah Vance,Jorge Scott
SP0075,Finally player return.,Angela Moss,Course.,Electronic,10/08/11,205,75,64534817,Italian,No,Indie,Tony Miller,Stephanie Williams,
SP0076,Must education.,Dr. Hector Nelson,Director bar.,Electronic,10/09/99,278,24,74446691,English,Yes,Warner Music,Samantha Miller,Jessica Pham,
SP0077,Against.,Barbara Barber,Method.,Pop,25/05/10,235,52,95567211,English,No,Atlantic Records,Stacey Garcia,Heather Smith,
SP0078,Growth radio.,Jack Jackson,Method.,Pop,28/05/99,263,69,82127709,Spanish,No,Def Jam,Cody Adams,Eric Tyler,Steven Burns
SP0079,System determine.,Andrea Moore,Item stuff.,Hip-Hop,28/03/23,242,28,78542431,English,No,Def Jam,Douglas Perkins,Kristy Roach,
SP0080,Line respond.,Michael Hester,Congress system.,Hip-Hop,16/02/09,204,85,39434707,English,No,Sony Music,Kimberly Martinez,Clifford Wall,
SP0081,Sell far.,Richard Valdez,Imagine until.,Hip-Hop,18/04/14,242,76,86801946,English,Yes,Atlantic Records,Luis Schultz,Elizabeth Little,
SP0082,Every light how human.,Eric Baker,Past.,Pop,27/09/14,158,100,42662587,English,Yes,Sony Music,Erin Watson,Alexander Kim,Ann Michael
SP0083,Past determine college.,Robert Mills,Wind.,Electronic,03/12/22,280,45,73461128,English,Yes,Universal Music,Mr. Michael Davis DDS,Lauren Jones,
SP0084,Boy perform management.,Paula Davis,Conference.,Electronic,05/05/24,,60,28675507,English,Yes,Universal Music,Gary Nelson,Abigail Sampson,
SP0085,Establish own.,Shannon Newman,Use.,Hip-Hop,21/01/19,94,74,75107936,English,Yes,Universal Music,Jesus Fleming,Anthony Sims,
SP0086,Trial necessary worry.,Nicole Anderson,Process center.,Electronic,24/07/08,208,35,43989232,,No,Universal Music,Devin Dougherty,Kimberly Miller,
SP0087,But these.,Stephanie Romero,Increase.,Pop,31/01/99,220,99,81838333,French,No,Sony Music,Jeff Smith,Stephen Garza,
SP0088,Protect pull.,Christopher Hill,Item.,Pop,12/01/13,299,11,40355702,English,No,Atlantic Records,Katelyn Sandoval,Jose Maynard,
SP0089,Theory travel.,Jake Benton,Clearly.,Country,27/11/09,179,66,69638071,English,No,Indie,Craig Gonzalez,Ashley Lee,
SP0090,Why they.,Joseph Dudley,Wear.,Hip-Hop,31/10/10,247,65,70582557,English,No,Sony Music,Christine Walton,Nathan Brown,Shawna Rogers
SP0091,Chance draw.,Kelly Higgins,Worry.,Jazz,09/01/16,176,50,55253032,English,Yes,Indie,Jessica Poole,Michael Coleman,
SP0092,Identify quite control.,Lori Huff,City enough.,Pop,30/09/12,285,85,92286744,English,Yes,Warner Music,Randy Butler,Benjamin Marks,
SP0093,Single year.,Nancy Benton,Spring.,Hip-Hop,19/05/14,186,98,40138044,English,No,Indie,Kelli Hill,Dawn Rogers,
SP0094,Challenge set.,David Jefferson,Beat huge.,Hip-Hop,28/01/17,,50,1202360,German,Yes,Sony Music,Rebecca Colon,James Moore,
SP0095,Provide begin me.,Stephanie Chung,American every.,Pop,18/12/97,259,12,16347723,English,Yes,Indie,Valerie Oliver,Richard Ramirez,
SP0096,Determine step.,Sarah Moore,Defense.,Country,25/03/98,261,76,60418523,English,Yes,Warner Music,Justin Burns,Dana Reeves,
SP0097,Modern need.,Kayla Barrett,Ability.,Hip-Hop,01/10/06,235,47,77132457,Japanese,No,Indie,Amy Vazquez,Dylan Cuevas,
SP0098,Skin manage sound.,Anna Reed,Per watch.,Hip-Hop,01/10/04,259,51,43030083,English,No,Sony Music,Patrick Reynolds,Sarah Cantu,Brianna Clayton
SP0099,Clear practice.,Nicholas Johnson,Child decision.,Electronic,11/08/23,149,23,57256173,Korean,No,Def Jam,Aaron Taylor,Peter Mcgee,
SP0100,Dinner various finally.,Melissa Kerr,Hair education.,Folk,03/10/19,250,90,4516034,Japanese,Yes,Warner Music,Eduardo King MD,Christina Greene,Vickie Stephens
SP0101,All benefit husband.,Brittany Jones,New black.,Hip-Hop,15/12/01,247,21,97891200,Korean,Yes,Sony Music,Tyler Thomas,Scott Hicks,
SP0102,Order break family.,Christopher Warren,Hot.,Electronic,01/09/14,136,45,97149186,Spanish,No,Sony Music,Crystal Reynolds,Jeffery Case,Anthony Middleton
SP0103,Particularly trouble.,Stephanie Aguilar,Social draw.,Folk,05/10/96,,56,66992567,English,No,Universal Music,Tara Mccall,Amanda Maldonado,Scott Butler
SP0104,Of involve.,Alexander Jackson,Question less.,Classical,27/01/19,240,98,25174977,English,Yes,Indie,Darren Christensen,Felicia Bray,
SP0105,Learn public account.,Brian Rogers,Require.,Hip-Hop,04/05/10,238,67,98604815,German,Yes,Sony Music,Chelsea Davis,Douglas Neal,Jacqueline Wang
SP0106,Direction standard response.,Steven Strong,Culture.,Hip-Hop,25/08/19,274,59,53712374,German,No,Universal Music,Cindy Cannon,Whitney Johnson,
SP0107,Professional relate throw.,Michael Bennett,Theory.,Electronic,14/07/07,193,41,83593751,English,Yes,Indie,Phillip Young,Jerry Brown,
SP0108,Financial bank win.,Timothy Jones,Debate.,Hip-Hop,01/03/11,,44,4418605,French,No,Universal Music,Bryan Romero,Elizabeth Ellis,
SP0109,Hospital skin.,Ashley Vega,Knowledge.,Pop,03/04/15,217,88,43543378,English,Yes,Indie,Stephen Hamilton,Joseph Miller,Laura Torres
SP0110,Statement carry since.,Annette Baxter,People only.,Hip-Hop,02/06/99,129,63,1894746,English,No,Indie,Anna Williams,Phillip Brady,
SP0111,Grow relationship generation.,Melissa Jenkins,Begin.,Electronic,06/02/01,231,13,10686803,French,No,Indie,Jessica Rojas,Jamie Davis,Michael Fox
SP0112,Mission group deal.,Brian Stewart,Space.,Classical,18/06/17,289,69,89752744,English,No,Indie,Courtney Stanton,Claudia Stevenson,
SP0113,Close institution candidate.,Joel Richardson,Must natural.,Electronic,20/08/15,205,8,15166107,English,Yes,Atlantic Records,Christine Li,Jennifer Shea,
SP0114,Nor.,Jeffery Norris,Series.,Hip-Hop,03/03/20,258,32,4875181,English,Yes,Atlantic Records,Michael Castro,Ana Ortiz,
SP0115,Significant travel center.,Kimberly Lewis,Call.,Pop,21/12/94,,59,76583834,English,Yes,Indie,Dr. Nicole Diaz,Sara Serrano,
SP0116,Pass research many much.,Kristen Padilla,Music.,Electronic,26/03/06,359,35,33603124,English,Yes,Sony Music,Michael Buck,William Phillips,
SP0117,Report name.,Carolyn Brown,When.,Hip-Hop,03/11/08,268,98,12518523,English,Yes,Indie,Christy Johnson,Patricia Hughes,
SP0118,Attorney they.,Cindy Hunt DDS,Address perhaps.,Hip-Hop,28/07/95,275,54,35548482,Korean,No,Warner Music,Mary Medina,Kara Wells,Angela Aguilar
SP0119,Thank.,Kayla Campos DDS,Run school.,Classical,08/04/24,295,64,22869748,German,No,Sony Music,Makayla Richardson,Shannon Mcneil,Samuel Fisher
SP0120,Money use.,Kevin Ford,Investment near.,Hip-Hop,21/09/09,230,66,46593516,English,No,Sony Music,Nicole Mercado,Cynthia Anderson,Scott Gibson DDS
SP0121,Agree option base.,Beverly Chang,War.,Hip-Hop,14/04/95,180,5,31439253,,Yes,Warner Music,Kevin Morgan,Maurice Blevins,
SP0122,Adult.,Erin Ware,Believe experience.,Hip-Hop,13/04/20,257,46,61229551,English,Yes,Sony Music,Nicholas Carlson,Kayla Walsh,James Robertson
SP0123,Modern in he.,Felicia Henderson,Again figure.,Folk,26/09/10,267,10,18547036,English,Yes,Atlantic Records,Dr. Madison Gray,Anthony Hodges,
SP0124,Throughout use meet.,Jason Robbins,Mind.,Jazz,29/09/05,258,6,95623479,English,No,Indie,Charlene Morales,Daniel Callahan,Michael Lewis
SP0125,Fight capital air.,Patrick Green,Woman.,Classical,10/03/10,345,84,44995937,,Yes,Def Jam,Michael Andersen,Kaitlyn Matthews,
SP0126,She him score.,Mr. Nathan Robles,Law.,Electronic,25/11/95,201,60,41459452,English,No,Warner Music,Kristi Adams,Steve Levy,
SP0127,Make step such.,Shane Alvarez,Arrive my.,Electronic,13/09/97,186,60,18504915,Italian,No,Atlantic Records,Carmen Wiley,Jonathon Foley,
SP0128,Too military.,Matthew Davidson,Sing argue.,Pop,07/01/99,266,20,75923930,English,No,Sony Music,Cynthia Brooks,Crystal Guerra,
SP0129,Smile quite.,Ronald Murphy,Natural interesting.,Hip-Hop,24/02/21,240,24,46308044,English,Yes,Universal Music,Nancy Nelson,Erin Fox,Brian Hill
SP0130,Down ability.,Paige Smith,Too.,Pop,04/11/23,246,46,53356430,English,Yes,Indie,Cameron Foster,Michael Rice,Carrie Scott
SP0131,Trouble teacher base.,Lisa Stone,White.,Electronic,07/02/19,268,38,47487833,Italian,Yes,Indie,Mr. George Love DDS,Peter Miller,
SP0132,Financial important land.,Tammy Weaver,Like.,Country,25/12/05,244,20,93253297,English,Yes,Atlantic Records,Katherine Riley,Donna Wilson,John Avila
SP0133,Manager story.,Janice Watson,Choose end.,Pop,01/01/03,267,2,95061885,English,Yes,Def Jam,Sandra Robinson,Alexander Benson,
SP0134,Culture street seek.,Barbara Hall,Likely.,Pop,12/12/19,222,81,82043515,,No,Sony Music,Jennifer Flores,Felicia Roman,
SP0135,Sea activity chair.,Robert Ramirez,Detail decision.,Electronic,27/05/95,190,82,3980519,German,Yes,Indie,Jose Pollard,Wendy Kelley,Christine Kelly
SP0136,Over year.,Nancy Miles,Business.,Pop,10/11/98,274,20,5441841,English,No,Atlantic Records,Megan Marquez,Denise Fox,
SP0137,Begin rest share.,Nathaniel Porter,Mission enjoy.,Pop,27/09/06,224,35,11762265,English,Yes,Indie,Mary Guzman,Chelsey Smith,Julie Murphy
SP0138,Whole probably hour.,Scott Hart,Medical.,Pop,12/03/00,243,100,79997877,English,No,Def Jam,Angela Reynolds,Regina Roth,Joseph Gordon
SP0139,One deep product.,Teresa Wang,Offer medical.,Pop,19/10/03,301,13,34632683,English,Yes,Warner Music,Jessica Simmons,Heather Roberts,
SP0140,Learn situation west.,Elizabeth Garcia,Instead tell.,Classical,16/01/13,302,96,42141496,English,Yes,Warner Music,Scott Smith,Michael Farley,Maria Hebert
SP0141,Lose candidate trip.,Tamara Smith,Physical road.,Hip-Hop,09/05/19,244,35,20958439,English,No,Def Jam,Margaret Johnson,Miss Nicole Butler,
SP0142,By follow.,Abigail Bonilla,Pick like.,Country,30/07/10,287,2,58414450,English,Yes,Warner Music,Amy Miller,Brian Velasquez,
SP0143,Mrs husband.,David Wheeler,Two.,R&B,11/04/96,292,58,74897479,English,No,Universal Music,Gary Johnson,Brett Taylor,
SP0144,Represent new voice.,Christopher Wilson,Message almost.,Hip-Hop,31/05/12,,68,95898481,Korean,Yes,Warner Music,Alyssa Sanchez,James Henry,
SP0145,At agreement.,Jennifer Graham,Activity deal.,Hip-Hop,14/07/20,236,52,40370938,French,Yes,Sony Music,Jordan Pratt,Patricia Griffin,
SP0146,Pass fly authority.,Molly Moore,Find simply.,Electronic,12/07/08,254,60,67104079,English,Yes,Atlantic Records,Melissa Mcdowell,Rebecca Davenport,
SP0147,Important require detail.,Kayla Tanner,First.,Pop,10/10/20,227,53,50848475,English,No,Universal Music,Amanda Robinson,Tammy Williamson,
SP0148,Hot into.,Caitlyn Cantu,Subject.,Electronic,08/07/11,233,88,40824471,Italian,Yes,Universal Music,Henry Sutton,Colleen Johnson,
SP0149,Million air.,Mark Tran,I happen.,Electronic,28/12/01,,5,4081090,Spanish,Yes,Universal Music,Daniel Charles,Thomas Fields,
SP0150,Difficult there conference change.,Benjamin Costa,World out.,Hip-Hop,06/03/14,208,43,28103855,German,Yes,Def Jam,Sara Macdonald,Tracy Carr,
SP0151,Get another.,Jessica Taylor,Measure office.,Pop,15/07/98,352,83,89910046,Spanish,No,Sony Music,Kevin Berg,Miranda Klein,
SP0152,Remain detail result.,Pam Harris,Including.,Hip-Hop,16/05/12,177,91,7943592,English,No,Warner Music,Mary Perez,William Hodges,Dawn Peters
SP0153,Prevent during officer purpose.,Renee Sullivan,Ago.,Pop,19/05/02,283,99,97797749,English,No,Def Jam,Megan Small,Brent Peterson,Dr. Victoria Carr
SP0154,Life reveal expert.,Donald Vasquez,Everybody step.,Pop,08/07/06,290,16,33906265,English,Yes,Warner Music,Shannon Jenkins,John Brown,
SP0155,Meeting focus until.,Alex Snow,Time.,R&B,17/05/19,239,37,12208592,German,Yes,Def Jam,Mr. James Silva,Jordan Russell,
SP0156,Budget wear.,Patrick Daugherty,Type including.,Country,03/07/14,202,67,7768964,Spanish,No,Indie,Catherine Walker,Jennifer Johnson,
SP0157,Choose my nothing check.,Ellen Humphrey,Hard scene.,Hip-Hop,29/05/15,294,86,23453600,English,No,Sony Music,Brett Clark,Melinda Kennedy,
SP0158,Here coach.,Rachel Carter,Fine short.,Classical,10/11/02,247,87,29312798,Japanese,No,Atlantic Records,Terry Clark,Ronald Griffin,
SP0159,Across figure.,Mr. Kevin Maxwell,Book.,Electronic,01/06/23,274,14,5598512,English,No,Warner Music,Cathy Lopez,Anne Miller,
SP0160,Loss through player.,Yolanda Schultz,Field as.,Pop,08/08/99,183,80,21478058,Italian,No,Sony Music,Bobby Myers,Heather Mcconnell,
SP0161,Say pull work.,Suzanne Ramsey,Page letter.,Electronic,30/08/21,269,98,26818137,English,Yes,Sony Music,Kelly Johnston,Sarah Campbell,
SP0162,Hold mother issue.,Albert Leon,Bad debate.,Hip-Hop,20/02/09,272,41,37535644,Japanese,No,Def Jam,Shawn Harrington,Alison Evans,
SP0163,Dog soldier.,Catherine Ramirez,Cover no.,Folk,29/07/18,,71,35641585,Spanish,Yes,Def Jam,Duane Garcia,Jeremy Jones,Charles Bell
SP0164,Significant their.,Kevin Rocha,Majority decide.,Folk,23/08/96,,15,89532726,English,Yes,Def Jam,Emily Nelson,Nicole Price,Frank Sullivan
SP0165,New general.,Nathan Hicks,Expert.,Hip-Hop,03/04/23,241,70,6804139,English,Yes,Universal Music,Mikayla Hood,William Anderson MD,Shawna Bauer
SP0166,Ten show understand.,Jeremy Lawrence,Series he.,Hip-Hop,22/09/04,318,74,30932992,English,No,Def Jam,Brittany Knapp,Jeremy Cunningham,
SP0167,Individual scientist image avoid.,Tony Jenkins,Others.,Pop,28/12/04,141,41,93897760,English,No,Sony Music,Brian Mcdonald MD,Shelly Flores,Dillon Thomas
SP0168,Test adult.,Michael Lee,President.,Electronic,20/01/21,198,13,41938172,English,Yes,Universal Music,Kerry Palmer,Anthony Mcknight,
SP0169,Financial raise.,Dorothy Warren,Enter foreign.,Pop,18/01/17,263,98,36198006,English,No,Sony Music,Troy Potter,James Barnes,
SP0170,Stage floor service.,Michael Yates,Realize fact.,Pop,03/01/18,,89,97117477,,Yes,Sony Music,Amy Dixon,Joanne Williams,
SP0171,Travel glass.,Pedro Gomez,If mouth.,Electronic,05/05/08,207,28,21913155,Spanish,Yes,Sony Music,Jessica Wright,Martin Wilkerson,
SP0172,Yard rise prove.,Brooke Mason,Remember authority.,Hip-Hop,11/07/24,182,18,50739023,English,Yes,Indie,Tiffany Smith,Troy Olson,
SP0173,Democrat government.,Alexander White,Forget.,Hip-Hop,25/12/12,259,53,6385792,English,Yes,Indie,Michelle Perry,Nicholas Larson,
SP0174,Relate decide others.,Danielle Marshall,Produce.,Electronic,11/05/19,220,19,84332166,Italian,No,Indie,Alyssa Tucker,Michael Torres,
SP0175,Professional.,Brett Bush,Both reduce.,Classical,02/08/20,277,96,3539351,English,Yes,Def Jam,Aaron Harris,Nicholas Tapia,Darren Zuniga
SP0176,Face herself finally.,Julie Lopez,Help.,Electronic,19/04/21,193,44,62724385,English,Yes,Def Jam,Christie Diaz,Robert Valdez,John Hall
SP0177,Specific night.,Sandra Rodriguez,New.,Country,10/12/07,174,50,71685687,,No,Atlantic Records,Colin Martinez,Anna Atkinson,
SP0178,Investment mission card.,Christopher Daniels,No.,Electronic,26/10/21,221,28,51087653,German,No,Def Jam,Jennifer Norman,Travis Mathews,
SP0179,Treat red.,Dan Wood,Avoid cold.,Electronic,24/03/16,191,75,11740053,English,Yes,Universal Music,Frances Myers,Kevin Crosby,
SP0180,Black.,Robert Murray,Anyone shoulder.,Classical,10/10/14,273,17,34162724,Korean,No,Sony Music,Julie Vasquez,Samantha Adams,
